date,id_str,user_name,text,time,latitude,longitude
2018-04-29,340583912.0,PineappleClan,baecation quick kona mish fam pbear howtoraiseamermaid farmersmarkethawaii,22:12:29,19.924032699999998,-155.88749886
2018-04-30,205492157.0,chowbabylovin,coffee ☕ ️ tour ’ end going ’ wanna walk,01:13:43,19.51094635,-155.92149962
2018-04-30,21823971.0,nellielaan,oldie put etsy jewelry shop link bio beaded necklace bag big enough,01:23:16,19.5071,-154.914
2018-04-30,155348857.0,Joechris1988,one time volcano set sky fire cooled sky left black,03:00:23,19.56666667,-155.5
2018-04-30,773602800.0,OptimisticVibe1,beautiful mother told weekly sunday morning chat morning,07:12:29,19.49332,-155.91775990000005
2018-04-30,98828325.0,JchanKchan,コナ国際空港 kailua kona h,18:01:25,19.73549893,-156.04078617
2018-04-30,2379070652.0,tiedyehobo,welcome wonderful world tiedyehobo tqlarye,21:13:08,19.52575,-155.92358000000004
2018-04-30,66811005.0,HiloPalace,tonight tomorrow pm days entebbe july four,21:23:58,19.724529999999998,-155.08649
2018-05-01,362523555.0,QuakesToday,magnitude earthquake km hawaiianoceanview hi unitedstate,00:00:09,19.17,-155.641
2018-05-01,453303348.0,STthre3,coconut chai kombucha tap kombucha,04:01:56,19.53233868,-155.92642466
2018-05-01,474594772.0,fahmi_izuddin,lost island still smile cause,06:14:55,19.64188,-155.99315
2018-05-01,285555348.0,RobertJohnCook,banana farm tonight ’ sunset spiritual,08:11:03,19.49332,-155.91775990000005
2018-05-01,15246236.0,Randall_Shirley,🌋 volcanoes national park island lava like chance,17:17:34,19.39923,-155.287
2018-05-01,493461606.0,ashleyyyz3,host mom bought us insanely massive amounts,18:57:27,19.4269,-155.91299999999995
2018-05-01,9670522.0,evee,drinking kanaha blonde ale konabrewingco konabrewingco,22:23:45,19.6429,-155.998
2018-05-01,593078442.0,ChefBellec,trading toque today awesome handcrafted ti leaf lei,22:42:04,19.827920000000002,-155.99132
2018-05-02,362739542.0,Koondolphia,last brain cell trying survive finals,00:40:17,19.99806,-155.81602
2018-05-02,1215501686.0,ubchillin,day checked big island digging view suite,00:57:03,19.558525,-155.96472680000005
2018-05-02,742726076.0,jasonizumiKona,gettingthehang making homemade stovetop roti flatbread wholewheat,07:25:36,19.5593,-155.93
2018-05-02,28159210.0,oddmanout75,bigislandtrip kamiloikibigislandtrip sites,20:49:00,20.02551872,-155.82165095
2018-05-02,30883871.0,wubbi,earthquake earthquake oh kalan,23:01:30,19.41016006,-154.91383875
2018-05-03,224628292.0,BrianSibbitt,hawaiian sunset deck vacation kona sunset paradise lako hous,05:41:23,19.608754100000002,-155.96775055
2018-05-03,21196825.0,sannebuurma,barren waste lands due lava yet perfect conditions start,16:16:24,19.64188,-155.99315
2018-05-03,69569140.0,miu_north,高低差も凄いよー 場所 kīlauea ik,20:58:30,19.4139,-155.246
2018-05-03,2587789764.0,WorkWithSHC,hiring read latest job opening travel emergency room registered nurse,21:19:07,20.2338889,-155.80194440000002
2018-05-03,52498259.0,COGdesign,looks like madame pele thinking creating square footage,22:31:15,19.38638889,-155.105
2018-05-03,227366903.0,mike_herron,great start island road trip south point green sand beac,22:57:32,18.936311,-155.64660600000005
